ResourceName,ParentAgencyName
East Texas Crisis Center,East Texas Crisis Center
East Texas Food Bank,
East Texas Food Bank,East Texas Food Bank
East Texas Food Bank Kids Cafe,East Texas Food Bank
East Texas Lighthouse,East Texas Lighthouse For The Blind
East Texas Lighthouse For The Blind,
East Texas Literacy Council,
East Texas Literacy Council,East Texas Literacy Council
East Texas Liver Support Group,Digestive Health Specialist of Tyler
East Texas Medical Center,
East Texas Medical Center - Crockett,
East Texas Medical Center - Trinity,
East Texas Medical Center - Trinity,East Texas Medical Center - Trinity
East Texas Pregnancy Help Center,
East Texas Pregnancy Help Center,East Texas Pregnancy Help Center
East Texas Score,
East Texas Support Services,
East Texas Treatment Center,
East Texas Treatment Center,East Texas Treatment Center
Easter Seal Rehabilitation Center,
Easter Seals,
Easter Seals,Easter Seals North Texas
"Easter Seals Central Texas, Inc.",
Easter Seals Greater Houston,
Easter Seals North Texas,
Easter Seals Rio Grande Valley,
Eastern Hills,
Eastern Hills,Eastern Hills Church of Christ
Eastern Hills Church of Christ,
Eastland Centennial Memorial Library,
Eastland County,
Eastland County Commissioners Court,Eastland County
"Eastland County Crisis Center, Inc.",
Eastland County Financial Assistance,Eastland County
Eastland County Food Pantry,
Eastland County Food Pantry,Eastland County Food Pantry
Eastland County Indigent Health Care,Eastland County
Eastland County Open Door,
Eastland County Veterans Service Office,
Eastland County Veterans Service Office,Eastland County Veterans Service Office
Eastland County VSO,
Eastland County VSO,Eastland County Veterans Service Office
Eastland Crime Victim Assistance Center,
Eastland Crime Victim Assistance Center,"Eastland County Crisis Center, Inc."
Eastland Food Pantry,
Eastland Food Pantry,Eastland County Food Pantry
Eastland Hospital,
Eastland Hospital,Eastland Memorial Hospital
Eastland Library,
Eastland Library,Eastland Centennial Memorial Library
Eastland Meals on Wheels,
Eastland Meals on Wheels,Eastland Senior Services
Eastland Memorial Hospital,
Eastland Memorial Hospital,Eastland Memorial Hospital
Eastland PD,
Eastland Police Department,
Eastland Police Department,City of Eastland - Police
Eastland Senior Services,
Eastland Senior Services,Eastland Senior Services
"Easton, City of",
Eastside Baptist Church,
Eastside Baptist Church Food Pantry,Eastside Baptist Church
Eastside Community Clinic - Medical,"East Texas Community Health Services, Inc."
Eastside Ministries of Fort Worth,
Eastside Promise Neighborhood Child Care Assistance,United Way of San Antonio and Bexar County
Eastwood Academy Charter High School,
Eastwood Church of Christ  - Food Pantry,El Pasoans Fighting Hunger
Eastwood Senior Housing,
EATDMST,"Longview, City of"
Eats Foundation,
Eats Foundation,Special Children's Network and Apple Seed Kids
EBC,
EBC,Eastside Baptist Church
EBC,Elmcrest Baptist Church
Ebola,Texas Department of State Health Services (DSHS)
EBS,
EBS,El Buen Samaritano Episcopal Mission
EBS Education Program,El Buen Samaritano Episcopal Mission
EBS Literacy Program,El Buen Samaritano Episcopal Mission
EBS Outreach Program,El Buen Samaritano Episcopal Mission
ECCI,
ECHOS,
ECHOS Program,ECHOS
ECI,
ECI,Austin Travis County Integral Care (ATCIC) Child and Family Services 
ECI,Brazos Valley Rehabilitation Center
ECI,Early Childhood Intervention - El Paso
ECI,Early Childhood Intervention - Project Ninos
ECI,Easter Seals Rio Grande Valley
ECI,Education Service Center Region III
ECI,MHMR of Tarrant County
ECI,"Ready Start formerly, Infant & Toddler Intervention Program"
ECI,Texas Department of Assistive and Rehabilitative Services (DARS) - Region 7
ECI HomeSpun,Hill Country Early Childhood Intervention HomeSpun
ECI Homespun - Kerr County,Early Childhood Intervention Homespun - Kerr County
ECI Homespun - Medina County,Early Childhood Intervention Homespun - Medina County
ECI Homespun - New Braunfels,Early Childhood Intervention Homespun - New Braunfels
ECI Infant Development Program,Easter Seals Greater Houston
ECI Keep Pace,Harris County Department of Education
ECI P.R.I.D.E. Program,Bluebonnet Trails Community Services
ECI PRIDE,
ECI Services,Betty Hardwick Center
ECISD,
ECISD,Edinburg Consolidated Independent School District
ECMH,
ECML,
ECML,Eastland Centennial Memorial Library
Economic Action Committee of the Gulf Coast,
Economic Development,City of Corpus Christi
Economic Development,"Houston Area Urban League, Inc."
Economic Development,Houston Minority Supplier Development Council
Economic Development Through Art Prod,Community Artists' Collective
"Economic Development/ P.V. Community Development Corporation, Micro-enterprise Technical Assistance",Project Vida
Economic Education,"Junior Achievement of Southeast Texas, Inc."
Economic Growth and Redevelopment Services Office,City of Austin - Economic Growth Redevelopment Services Office (EGRSO)
Economic Opportunities Advancement Corporation,
ECPTOT,
ECPTOT,Physical Therapy and Occupational Therapy Examiners
Ector County Greater Works,
Ector County Greater Works,Ector County Greater Works
Ector County Health Department,
Ector County Hospital District Assistance,Medical Center Health System
Ector County Library,
Ector County Library,Ector County Library
Ector County Neighborhood Center,"West Texas Opportunities, Inc.-Ector County"
Ector County Senior Centers,
Ector County Veteran Services,
Ector County Youth Center,
Ector Independent School District,
Ector Independent School District,Ector Independent School District
Ector ISD,
Ector Middle School,Communities in Schools of the Permian Basin
"Ector, City of",
"Ector, City of","Ector, City of"
"Ecumenical Center For Education, Counseling, Health, The",
Ecumenical Center For Religion and Health,
ED,
ED,United States Department of Education (US DOE)
Ed2go,Round Rock Independent School District (RRISD)
Edcouch - Elsa Independent School District,
Edcouch Housing Authority,
Eddie Bernice Johnson Center - Lincoln High School,Parkland Health and Hospital System
Eden  Housing Authority,
Eden Chamber of Commerce,
Eden Housing Authority,Eden  Housing Authority
Eden Place,Disciple Homes Management Group
EDGE,
EDGE,"Ft. Bliss Child, Youth and School Service"
Edgecliff Village City Hall,
Edgecliff Village Fire Department,
Edgewood Housing Authority,
Edgewood Housing Authority,Housing Authority of Edgewood
Edgewood Independent School District,
Edgewood Independent School District,Edgewood Independent School District
Edgewood ISD,Edgewood Independent School District
"Edgewood, City of",
"Edinburg Child Care, Inc.",
Edinburg Consolidated Independent School District,
Edinburg Housing Authority,
"Edinburg, City of",
Edison Plaza Museum,
"Edmonson, City of",
"Edmonson, City of","Edmonson, City of"
Edna Animal Control,City of Edna
Edna City Hall,City of Edna
"Edna Fire Marshall, Lloyd Chase",City of Edna
Edna Gladney Home,
Edna Gladney Home,Gladney Center for Adoption
Edna Housing Authority - Section 8,Housing Authority of Edna
Edna Learning Center,YMCA of Central Texas
Edna Lions Club,
Edna Police Department,City of Edna
Edna Rotary Club,
Edom UMC,
Edom UMC Community Partner Program,Edom United Methodist Church
Edom United Methodist Church,
Education,Alzheimer's Association- Midland County
Education,Birdville Independent School District
Education,Cassata Catholic High School
Education,Education Service Center Region 11
Education,Gateway School
Education,Girls Service League Inc
Education,Grandview Independent School District
Education,Heidi Search Center for Missing Children
Education,Hope Literacy Inc (Helping Other People Excel)
Education,Junior Achievement of the Chisholm Trail
Education,Keller Independent School District
Education,KEYS High School (Hurst-Euless-Bedford ISD)
Education,McCulloch Adult Literacy Council
Education,Menard Special Education Cooperative
Education,North Richland Hills Baptist Church
Education,Small Schools Cooperative
Education,Texas A&M Agrilife Extension Service - Erath County
Education,Texas A&M Agrilife Extension Service - Palo Pinto County
Education,Texas A&M Agrilife Extension Service - Parker County
Education,Texas A&M Agrilife Extension Service - Wise County
Education,The Rape Crisis Center for Children and Adults
Education,White Settlement Independent School District
Education Adult/Child,Adult Education Alice Co-Op
Education Adult/Child,Aldine Family Hope Center
Education Advocacy Groups,Anna Independent School District
Education and Career Development Activities,Boys and Girls Club of Alamo - San Juan
Education and Community Outreach,The Crisis Center
Education and Employment Services for Farm Worker,Sin Fronteras
Education and Outreach,Susan G. Komen San Antonio Affiliate
Education and Outreach,The Harris School
Education and Outreach Services,Motivation Education and Training
Education and Prevention,"AIDS Foundation Houston, Inc."
Education and Resources,AGE of Central Texas
Education and Support,National Alliance on Mental Illness-NAMI Texas
Education and Support Group Services,Central Texas Medical Center
Education and Training Programs,American Red Cross of North Central Texas
Education and Vocational Services,The Lighthouse of Houston
Education Assistance,Mary L. Peyton Foundation
Education Basics Program,"National Alliance on Mental Illness NAMI - El Paso, Inc."
Education Center,Spring Branch Independent School District
Education Department - Project Turnaround,Coastal Bend Wellness Foundation
Education Enrichment Classes,Neighborhood Centers Inc.
Education Plus,
Education Plus,Education Plus Skills Center
Education Plus Skills Center,
Education Plus Skills Center,Education Plus Skills Center
Education Program,Immunize El Paso
Education Program,University Medical Center UMC-El Paso
"Education Program, Adult Basic Education","El Paso Community Action Program, Project Bravo, Inc."
"Education Program, Adult Basic Education",Texas A&M Center for Housing and Urban Development
Education Programs - Prepurchase and Budget Management,"Hill Country Home Opportunity Council, Inc."
Education Programs and Support Groups,National Alliance for Mental Illness - San Antonio
Education Resource Center,Christus Hospital St. Elizabeth
Education Service Center Region 11,
Education Service Center Region 12,
Education Service Center Region 15,
Education Service Center Region III,
"Education Service Center, Region 2",
"Education Service Center, Region 20",
"Education Service Center, Region 9",
Education Services,Alzheimer's Association Capital of Texas Chapter
Education Services,Catholic Charities Northwest Campus - Wichita Falls
Education Services,Eastland County Open Door
Education Services,Hand to Hold
Education Services,"Mary Ruth Duncan Women's Health Center, Waco"
Education Services,Midland Rape Crisis Center and Childrens Advocacy
Education Services,The Council On Alcohol and Drug Abuse
